material_id,name,synonyms,material_type,category,subcategory,CAS,PubChem_CID,SMILES,InChIKey,supplier_or_grade_notes,route_suitability,regulatory_or_safety_notes,source_id,curation_status,confidence_score,notes,BCS_class,CMC_mM,HBA,HBD,HLB,ICH_class,MW,PDE_mg_day,TPSA,Tg_C,Tm_C,acid_base,aromatic_rings,avg_MW,boiling_point_C,cationic,charge_inducer,cloud_point_C,cryoprotectant,delta_D,delta_H,delta_P,density_g_ml,dielectric_constant,edge_activator,formal_charge,fusogenic,headgroup_area_nm2,hsp_radius,ionizable,logP,melting_point_C,molar_volume_cm3_mol,mucoadhesive,n_tails,pKa,pegylated,polarity_index,porous_carrier,rotatable_bonds,tail_carbons,tail_unsaturation,toxicity_penalty,vesicle_anchor,water_miscibility,water_solubility_mg_ml
API_DEXAMETHASONE,Dexamethasone,,api,Drug/API,corticosteroid,,5743.0,,,,neutral corticosteroid; pulmonary/topical/oral nanocarrier payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,6,3,,,392.46,,94.8,,,,1,,,,,,,18,13,10.5,,,,0,,,9,,1.83,262,313.97,,,,,,,2,,,,,,0.1
API_BUDESONIDE,Budesonide,,api,Drug/API,corticosteroid,,2462.0,,,,neutral corticosteroid; pulmonary delivery candidate,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,6,2,,,430.54,,93.1,,,,0,,,,,,,18,13,10.5,,,,0,,,9,,2.3,224,344.43,,,,,,,7,,,,,,0.014
API_FLUTICASONE_PROPIONATE,Fluticasone propionate,,api,Drug/API,corticosteroid,,5311101.0,,,,highly lipophilic inhaled corticosteroid,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,7,1,,,500.57,,94.8,,,,1,,,,,,,18.2,10,8,,,,0,,,8.5,,3.7,273,400.46,,,,,,,8,,,,,,0.00014
API_BECLOMETHASONE_DIPROPIONATE,Beclomethasone dipropionate,,api,Drug/API,corticosteroid,,21700.0,,,,inhaled corticosteroid prodrug-like ester,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,7,0,,,521.04,,89.9,,,,0,,,,,,,18.2,10,8,,,,0,,,8.5,,3.5,208,416.83,,,,,,,9,,,,,,0.00013
API_PREDNISOLONE,Prednisolone,,api,Drug/API,corticosteroid,,5755.0,,,,corticosteroid; oral/topical/parenteral precedent,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,I/II,,5,3,,,360.44,,94.8,,,,1,,,,,,,18,13,10.5,,,,0,,,9,,1.6,235,288.35,,,,,,,2,,,,,,0.22
API_HYDROCORTISONE,Hydrocortisone,,api,Drug/API,corticosteroid,,5754.0,,,,corticosteroid; benchmark amphiphilic neutral drug,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,I/II,,5,3,,,362.46,,94.8,,,,0,,,,,,,18,13,10.5,,,,0,,,9,,1.6,220,289.97,,,,,,,2,,,,,,0.28
API_CURCUMIN,Curcumin,,api,Drug/API,polyphenol,,969516.0,,,,polyphenol; hydrophobic antioxidant/anti-inflammatory payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,IV,,6,2,,,368.38,,93.1,,,,2,,,,,,,18.2,10,8,,,,0,,,8.5,,3.2,183,294.7,,,8.5,,,,8,,,,,,0.0006
API_QUERCETIN,Quercetin,,api,Drug/API,flavonoid,,5280343.0,,,,flavonoid; crystallization-prone polyphenol,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II/IV,,7,5,,,302.24,,131.4,,,,2,,,,,,,18,13,10.5,,,,0,,,9,,1.5,316,241.79,,,6.4,,,,1,,,,,,0.002
API_RESVERATROL,Resveratrol,,api,Drug/API,polyphenol,,445154.0,,,,polyphenol; neutral weak acid phenolic payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,3,3,,,228.25,,60.7,,,,2,,,,,,,18.2,10,8,,,,0,,,8.5,,3.1,253,182.6,,,9.3,,,,2,,,,,,0.03
API_IBUPROFEN,Ibuprofen,,api,Drug/API,NSAID,,3672.0,,,,weak-acid NSAID; ionization controls loading/release,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,2,1,,,206.28,,37.3,,,,1,,,,,,,18.2,10,8,,,,0,,,8.5,,3.5,76,165.02,,,4.9,,,,4,,,,,,0.021
API_KETOPROFEN,Ketoprofen,,api,Drug/API,NSAID,,3825.0,,,,weak-acid NSAID,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,3,1,,,254.28,,54.4,,,,2,,,,,,,18.2,10,8,,,,0,,,8.5,,3.1,94,203.42,,,4.45,,,,4,,,,,,0.12
API_DICLOFENAC,Diclofenac,,api,Drug/API,NSAID,,3033.0,,,,weak-acid NSAID; salt form changes solubility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,3,2,,,296.15,,49.3,,,,2,,,,,,,18.4,6,5.5,,,,0,,,8,,4.5,165,236.92,,,4,,,,4,,,,,,0.002
