source_id,source_type,citation,DOI,URL,access_date,notes
S000_USER_SPEC,user_schema,"User-provided NanoFormulationDesigner material database schema and requirements, uploaded June 23, 2026.",,local_uploaded_file:Pasted text(155).txt,2026-06-23,"Defines required tables, material classes, calculation support, and curation rules."
S001_PUBCHEM,database,NIH National Library of Medicine. PubChem Compound Database.,,https://pubchem.ncbi.nlm.nih.gov/,2026-06-23,"Used for stable identifiers and computed molecular descriptors such as formula, molecular weight, XLogP, TPSA, HBD/HBA, rotatable bonds, and SMILES when curated."
S002_PUBCHEM_PUGREST,documentation,"NIH/NCBI. PubChem PUG-REST documentation, compound property tables.",,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,2026-06-23,Defines PubChem property fields and provenance assumptions.
S003_AVANTI_PHASE,supplier_database,Avanti Research/Croda. Phase Transition Temperatures for Glycerophospholipids.,,https://www.avantiresearch.com/en-gb/support-hub/physical-properties/phase-transition-temps,2026-06-23,Primary curation source for phospholipid main transition temperatures.
S004_LIPIDMAPS,database,"Sud M, Fahy E, Cotter D, et al. LMSD: LIPID MAPS structure database. Nucleic Acids Res. 2007;35:D527-D532.",10.1093/nar/gkl838,https://www.lipidmaps.org/,2026-06-23,"Lipid structures, classification, shorthand, and identifiers."
S005_ICH_Q3C_R9,regulatory_guideline,"ICH Q3C(R9). Guideline for Residual Solvents, Step 5, April 2024.",,https://database.ich.org/sites/default/files/ICH_Q3C%28R9%29_Guideline_MinorRevision_2024_2024_Approved.pdf,2026-06-23,Residual solvent class and permitted daily exposure where applicable.
S006_HANSEN_HANDBOOK,handbook,"Hansen CM. Hansen Solubility Parameters: A User’s Handbook, 2nd ed. CRC Press; 2007.",10.1201/9781420006834,https://www.hansen-solubility.com/Charles-Hansen/thehandbook.php,2026-06-23,Reference framework for Hansen/Hildebrand solubility parameters and RED calculation.
S007_EXCIPIENTS_HANDBOOK,handbook,"Rowe RC, Sheskey PJ, Quinn ME, eds. Handbook of Pharmaceutical Excipients, 6th ed. Pharmaceutical Press; 2009.",,https://www.ncbi.nlm.nih.gov/nlmcatalog/101514782,2026-06-23,"Excipient identity, physical properties, safety notes, and grade variability."
S008_FDA_IID,regulatory_database,U.S. FDA. Inactive Ingredients in Approved Drug Products Database and quarterly download files.,,https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-06-23,Prior route/dosage-form precedent for excipients; route suitability requires product-specific confirmation.
S009_GATTEFOSSE,supplier_brochure,Gattefossé. Lipid excipients for drug delivery catalogue and excipient selection brochures.,,https://www.gattefosse.com/pharmaceuticals/learn-more/publications,2026-06-23,"Trade-name excipient class, HLB/melting/drop-point ranges, route/application notes."
S010_BASF_KOLLIPHOR,supplier,BASF Pharma Solutions. Kolliphor/Cremophor and poloxamer product information.,,https://pharma.basf.com/,2026-06-23,"Surfactant grade notes, average MW ranges, HLB/cloud point where supplier-reported."
S011_CRODA_SPAN_TWEEN,supplier,Croda. Span and Tween nonionic surfactant technical literature.,,https://www.crodapharma.com/,2026-06-23,HLB and fatty-chain identity for sorbitan esters and polysorbates; values may vary by grade.
S012_CALCULATED,calculation,"Internal calculated descriptor from stored constants, not a primary experimental source.",,local:internal_calculation,2026-06-23,Used for derived values such as molar volume estimated from MW/density or Hildebrand total from Hansen components.
S013_EST_HSP_HEURISTIC,estimation_protocol,Internal group-contribution/nearest-neighbour heuristic for provisional Hansen parameters.,,local:estimation_protocol,2026-06-23,"Use only for screening/ranking; replace with experimental inverse-gas chromatography, solubility-sphere, or literature HSP values."
S014_AULTON,textbook,"Aulton ME, Taylor KMG. Aulton’s Pharmaceutics: The Design and Manufacture of Medicines. Elsevier.",,https://www.elsevier.com/books/aultons-pharmaceutics,2026-06-23,"Formulation roles, excipient function, carrier concepts, and route suitability framing."
S015_VAN_HOOGEVEST,review,"van Hoogevest P, Wendel A. The use of natural and synthetic phospholipids as pharmaceutical excipients. Eur J Lipid Sci Technol. 2014;116:1088-1107.",10.1002/ejlt.201400219,https://pmc.ncbi.nlm.nih.gov/articles/PMC4207189/,2026-06-23,"Phospholipid regulatory precedent, formulation use, oral/parenteral relevance."
S016_CHEN_TM,primary_literature,"Chen W, et al. Determination of the main phase transition temperature of phospholipids by nanoparticle tracking analysis. Sci Rep. 2018;8:14815.",10.1038/s41598-018-33107-5,https://www.nature.com/articles/s41598-018-33107-5,2026-06-23,Experimental confirmation of DMPC/DPPC/DSPC transition temperatures.
pubchem,database,"PubChem, NIH National Library of Medicine",,https://pubchem.ncbi.nlm.nih.gov,2026-06-01,Identity + physicochemical constants
hpe,handbook,"Handbook of Pharmaceutical Excipients, 9th ed.",,,2026-06-01,"Excipient properties (HLB, function, safety)"
supplier,supplier,Supplier technical datasheet (Croda/BASF/Gattefosse/Lipoid),,,2026-06-01,Grade-dependent excipient data
ich_q3c,guideline,ICH Q3C(R8) Impurities: Guideline for Residual Solvents,,https://www.ich.org,2026-06-01,Solvent class + PDE
estimated,estimation,Internal estimation / group-contribution / analogy,,,2026-06-01,"Heuristic value, low confidence, needs verification"
S017_CHEMBL,database,"ChEMBL Database v34, EMBL-EBI",,https://www.ebi.ac.uk/chembl,2026-07-01,"Calculated molecular properties (MW, ALogP, PSA, HBD/HBA, RTB, aromatic rings)"
S018_SURFACTANT_LIT,literature,Surfactant/excipient CMC literature (aggregated); Handbook of Pharmaceutical Excipients & primary surfactant-science sources,,,2026-07-01,Representative CMC values; temperature/method/ionic-strength dependent
S019_PKA_LIT,literature,"Aggregated pKa reference values (FDA/DailyMed labels, potentiometric literature, DrugBank)",,,2026-07-01,Representative ionization constants; multi-protic drugs list the most formulation-relevant pKa
