material_id,name,synonyms,material_type,category,subcategory,CAS,PubChem_CID,SMILES,InChIKey,supplier_or_grade_notes,route_suitability,regulatory_or_safety_notes,source_id,curation_status,confidence_score,notes
API_DEXAMETHASONE,Dexamethasone,,api,Drug/API,corticosteroid,,5743.0,,,,neutral corticosteroid; pulmonary/topical/oral nanocarrier payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_BUDESONIDE,Budesonide,,api,Drug/API,corticosteroid,,2462.0,,,,neutral corticosteroid; pulmonary delivery candidate,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_FLUTICASONE_PROPIONATE,Fluticasone propionate,,api,Drug/API,corticosteroid,,5311101.0,,,,highly lipophilic inhaled corticosteroid,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_BECLOMETHASONE_DIPROPIONATE,Beclomethasone dipropionate,,api,Drug/API,corticosteroid,,21700.0,,,,inhaled corticosteroid prodrug-like ester,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_PREDNISOLONE,Prednisolone,,api,Drug/API,corticosteroid,,5755.0,,,,corticosteroid; oral/topical/parenteral precedent,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_HYDROCORTISONE,Hydrocortisone,,api,Drug/API,corticosteroid,,5754.0,,,,corticosteroid; benchmark amphiphilic neutral drug,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CURCUMIN,Curcumin,,api,Drug/API,polyphenol,,969516.0,,,,polyphenol; hydrophobic antioxidant/anti-inflammatory payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_QUERCETIN,Quercetin,,api,Drug/API,flavonoid,,5280343.0,,,,flavonoid; crystallization-prone polyphenol,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_RESVERATROL,Resveratrol,,api,Drug/API,polyphenol,,445154.0,,,,polyphenol; neutral weak acid phenolic payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_IBUPROFEN,Ibuprofen,,api,Drug/API,NSAID,,3672.0,,,,weak-acid NSAID; ionization controls loading/release,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
